city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,5
sj,2008,20,28
sj,2008,21,28
sj,2008,22,13
sj,2008,23,2
sj,2008,24,1
sj,2008,25,36
sj,2008,26,20
sj,2008,27,15
sj,2008,28,10
sj,2008,29,21
sj,2008,30,31
sj,2008,31,26
sj,2008,32,33
sj,2008,33,47
sj,2008,34,12
sj,2008,35,45
sj,2008,36,152
sj,2008,37,57
sj,2008,38,55
sj,2008,39,33
sj,2008,40,43
sj,2008,41,59
sj,2008,42,49
sj,2008,43,27
sj,2008,44,47
sj,2008,45,37
sj,2008,46,40
sj,2008,47,34
sj,2008,48,51
sj,2008,49,44
sj,2008,50,36
sj,2008,51,23
sj,2008,52,23
sj,2009,1,23
sj,2009,2,14
sj,2009,3,32
sj,2009,4,27
sj,2009,5,33
sj,2009,6,16
sj,2009,7,17
sj,2009,8,20
sj,2009,9,16
sj,2009,10,13
sj,2009,11,7
sj,2009,12,4
sj,2009,13,4
sj,2009,14,15
sj,2009,15,7
sj,2009,16,8
sj,2009,17,7
sj,2009,18,13
sj,2009,19,6
sj,2009,20,10
sj,2009,21,11
sj,2009,22,13
sj,2009,23,15
sj,2009,24,11
sj,2009,25,7
sj,2009,26,23
sj,2009,27,25
sj,2009,28,20
sj,2009,29,37
sj,2009,30,46
sj,2009,31,39
sj,2009,32,52
sj,2009,33,40
sj,2009,34,38
sj,2009,35,83
sj,2009,36,37
sj,2009,37,48
sj,2009,38,38
sj,2009,39,56
sj,2009,40,92
sj,2009,41,83
sj,2009,42,54
sj,2009,43,37
sj,2009,44,46
sj,2009,45,50
sj,2009,46,15
sj,2009,47,55
sj,2009,48,29
sj,2009,49,28
sj,2009,50,22
sj,2009,51,33
sj,2009,52,24
sj,2010,53,24
sj,2010,1,31
sj,2010,2,33
sj,2010,3,33
sj,2010,4,30
sj,2010,5,29
sj,2010,6,22
sj,2010,7,14
sj,2010,8,25
sj,2010,9,23
sj,2010,10,27
sj,2010,11,4
sj,2010,12,17
sj,2010,13,9
sj,2010,14,8
sj,2010,15,5
sj,2010,16,12
sj,2010,17,2
sj,2010,18,9
sj,2010,19,6
sj,2010,20,22
sj,2010,21,15
sj,2010,22,92
sj,2010,23,54
sj,2010,24,31
sj,2010,25,30
sj,2010,26,23
sj,2010,27,30
sj,2010,28,50
sj,2010,29,44
sj,2010,30,46
sj,2010,31,25
sj,2010,32,110
sj,2010,33,65
sj,2010,34,121
sj,2010,35,125
sj,2010,36,118
sj,2010,37,83
sj,2010,38,46
sj,2010,39,27
sj,2010,40,37
sj,2010,41,118
sj,2010,42,25
sj,2010,43,43
sj,2010,44,52
sj,2010,45,55
sj,2010,46,35
sj,2010,47,28
sj,2010,48,26
sj,2010,49,30
sj,2010,50,23
sj,2010,51,21
sj,2011,52,21
sj,2011,1,17
sj,2011,2,30
sj,2011,3,22
sj,2011,4,17
sj,2011,5,24
sj,2011,6,22
sj,2011,7,10
sj,2011,8,11
sj,2011,9,15
sj,2011,10,8
sj,2011,11,6
sj,2011,12,10
sj,2011,13,10
sj,2011,14,18
sj,2011,15,18
sj,2011,16,13
sj,2011,17,7
sj,2011,18,8
sj,2011,19,10
sj,2011,20,9
sj,2011,21,11
sj,2011,22,10
sj,2011,23,9
sj,2011,24,107
sj,2011,25,86
sj,2011,26,44
sj,2011,27,38
sj,2011,28,77
sj,2011,29,17
sj,2011,30,101
sj,2011,31,42
sj,2011,32,159
sj,2011,33,60
sj,2011,34,144
sj,2011,35,48
sj,2011,36,33
sj,2011,37,37
sj,2011,38,32
sj,2011,39,62
sj,2011,40,44
sj,2011,41,49
sj,2011,42,42
sj,2011,43,29
sj,2011,44,33
sj,2011,45,35
sj,2011,46,32
sj,2011,47,38
sj,2011,48,25
sj,2011,49,22
sj,2011,50,48
sj,2011,51,27
sj,2012,52,34
sj,2012,1,29
sj,2012,2,19
sj,2012,3,21
sj,2012,4,24
sj,2012,5,15
sj,2012,6,16
sj,2012,7,13
sj,2012,8,13
sj,2012,9,13
sj,2012,10,11
sj,2012,11,9
sj,2012,12,7
sj,2012,13,14
sj,2012,14,12
sj,2012,15,11
sj,2012,16,8
sj,2012,17,6
sj,2012,18,13
sj,2012,19,14
sj,2012,20,11
sj,2012,21,7
sj,2012,22,10
sj,2012,23,6
sj,2012,24,26
sj,2012,25,32
sj,2012,26,8
sj,2012,27,27
sj,2012,28,18
sj,2012,29,24
sj,2012,30,55
sj,2012,31,19
sj,2012,32,28
sj,2012,33,41
sj,2012,34,55
sj,2012,35,25
sj,2012,36,37
sj,2012,37,97
sj,2012,38,85
sj,2012,39,55
sj,2012,40,61
sj,2012,41,53
sj,2012,42,60
sj,2012,43,48
sj,2012,44,65
sj,2012,45,45
sj,2012,46,73
sj,2012,47,39
sj,2012,48,27
sj,2012,49,37
sj,2012,50,24
sj,2012,51,16
sj,2013,1,33
sj,2013,2,26
sj,2013,3,23
sj,2013,4,15
sj,2013,5,38
sj,2013,6,13
sj,2013,7,17
sj,2013,8,12
sj,2013,9,13
sj,2013,10,12
sj,2013,11,12
sj,2013,12,8
sj,2013,13,9
sj,2013,14,5
sj,2013,15,10
sj,2013,16,9
sj,2013,17,10
iq,2010,26,5
iq,2010,27,2
iq,2010,28,7
iq,2010,29,3
iq,2010,30,2
iq,2010,31,4
iq,2010,32,6
iq,2010,33,4
iq,2010,34,0
iq,2010,35,5
iq,2010,36,5
iq,2010,37,0
iq,2010,38,6
iq,2010,39,0
iq,2010,40,5
iq,2010,41,6
iq,2010,42,17
iq,2010,43,14
iq,2010,44,9
iq,2010,45,11
iq,2010,46,14
iq,2010,47,9
iq,2010,48,8
iq,2010,49,6
iq,2010,50,8
iq,2010,51,7
iq,2011,52,1
iq,2011,1,21
iq,2011,2,14
iq,2011,3,12
iq,2011,4,11
iq,2011,5,14
iq,2011,6,10
iq,2011,7,14
iq,2011,8,15
iq,2011,9,14
iq,2011,10,8
iq,2011,11,5
iq,2011,12,8
iq,2011,13,8
iq,2011,14,6
iq,2011,15,7
iq,2011,16,8
iq,2011,17,6
iq,2011,18,8
iq,2011,19,3
iq,2011,20,5
iq,2011,21,6
iq,2011,22,4
